"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Test Case ID:** TC-ECV-04
**Title:** View All opens electric listing
**Language:** hi

**Description:**
In Electric Commercial Vehicles, click View All and confirm the user is taken to the electric vehicles listing page.

**Expected Result:**
The URL is the electric listing path for the language (for example /en/electric in English).

**Steps:**
1. Open Electric Commercial Vehicles
2. Click View All
3. Verify the URL is the electric listing page","6588","TC-ECV-04: View All opens electric listing","Homepage - ElectricCommercialVehicles [hi]","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-ECV-03
**Title:** One Check Offers lead submits successfully
**Language:** ta

**Description:**
Open Check Offers once from a card in Electric Commercial Vehicles, fill name, mobile and city, and submit. Only one lead form is exercised for this section.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission (same outcome users see after Check Offers elsewhere on the homepage).

**Steps:**
1. Open Electric Commercial Vehicles
2. Click Check Offers on one visible card
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","10315","TC-ECV-03: one Check Offers lead submits successfully","Homepage - ElectricCommercialVehicles [ta]","2026-08-23","passed","2026-08-23","","","",""
"","8536","TC-NLP-00: page links resolve 200/30x; broken links are logged, not failed","ListingPages - NewListingPages [bestTrucks] [en] — Best Trucks","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-CL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on 3 Wheeler
**Language:** en

**Description:**
Open the 3 Wheeler page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the 3 Wheeler page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","4038","TC-CL-02: Check Truck Price lead form shows required validation when submitted empty on 3 Wheeler","CategoryPages - CategoryListing [threeWheeler] [en] — 3 Wheeler","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-CL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on 6 Wheeler
**Language:** en

**Description:**
Open the 6 Wheeler page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the 6 Wheeler page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","2067","TC-CL-02: Check Truck Price lead form shows required validation when submitted empty on 6 Wheeler","CategoryPages - CategoryListing [sixWheeler] [en] — 6 Wheeler","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-PSH-04
**Title:** View All Used Trucks link does not reuse a product card's URL
**Language:** hi

**Description:**
Confirm the View All Used Trucks link does not accidentally point at the first product card's PDP URL.

**Expected Result:**
View All Used Trucks and the first product card link to different URLs.

**Steps:**
1. Open Popular Second Hand Truck
2. Verify View All's href differs from the first product's href","1191","TC-PSH-04: View All Used Trucks link does not reuse a product card's URL","Homepage - PopularSecondHandTruck [hi]","2026-08-23","passed","2026-08-23","","","",""
"","9701","TC-EV-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - ElectricVehicle [en] — Electric Commercial Vehicles","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-LMC-08
**Title:** View All on default tab opens matching category listing
**Language:** en

**Description:**
On the default 3 Wheelers tab, click View All and confirm the user lands on the matching category listing page.

**Expected Result:**
The URL matches the View All path for 3 Wheelers (for example /en/3-wheeler in English).

**Steps:**
1. Open Latest Models by Category on the default tab
2. Click View All
3. Verify the category listing URL","4504","TC-LMC-08: View All on default tab opens matching category listing","Homepage - LatestModelsByCategory [en]","2026-08-23","passed","2026-08-23","","","",""
"","20","TC-NTPDP-20: News block for Eka 3W Cargo","PDP - NewTruckPdp [leastPopular] [en] — Eka 3W Cargo","2026-08-23","skipped","2026-08-23","","Page blocks (same session)","",""
"**Test Case ID:** TC-ECV-01
**Title:** Electric Commercial Vehicles section is visible
**Language:** hi

**Description:**
Open the homepage and locate the Electric Commercial Vehicles section. Confirm the section is shown with the correct heading for the selected language.

**Expected Result:**
The Electric Commercial Vehicles section is visible and the heading matches the expected localized text (for example, “Electric Commercial Vehicles” in English).

**Steps:**
1. Open the homepage for the selected language
2. Scroll to the Electric Commercial Vehicles section
3. Verify the section and heading are visible","1279","TC-ECV-01: Electric Commercial Vehicles section is visible","Homepage - ElectricCommercialVehicles [hi]","2026-08-23","passed","2026-08-23","","","",""
"","11815","TC-FRU-00: page links resolve 200/30x; broken links are logged, not failed","Homepage - FindReliableUsedTrucksNearYou [en]","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-TMO-03
**Title:** Check Offers lead form rejects mobile that is not 10 digits on Select Your Truck
**Language:** en

**Description:**
Open the Select Your Truck page, open Check Offers on the default tab, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the Select Your Truck page
2. Click a model card's ""Check Offers"" button
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","2021","TC-TMO-03: Check Offers lead form rejects mobile that is not 10 digits on Select Your Truck","UtilityPages - TabbedModelOffers [selectYourTruck] [en] — Select Your Truck","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-TSR-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on Mahindra Bolero
**Language:** en

**Description:**
Open the Mahindra Bolero page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the Mahindra Bolero page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","2208","TC-TSR-02: Check Truck Price lead form shows required validation when submitted empty on Mahindra Bolero","CategoryPages - CategoryListingTruckSeries [mahindraBolero] [en] — Mahindra Bolero","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-PTC-05
**Title:** No visible product card links to a duplicate truck
**Language:** ta

**Description:**
Confirm every visible product name in Popular Truck Comparison links to a distinct truck.

**Expected Result:**
No two visible product cards share the same href.

**Steps:**
1. Open Popular Truck Comparison
2. Verify all visible product links are unique","1254","TC-PTC-05: no visible product card links to a duplicate truck","Homepage - PopularTruckComparison [ta]","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-CL-01
**Title:** Check Truck Price lead submits successfully on 22 Wheeler
**Language:** en

**Description:**
Open the 22 Wheeler page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the 22 Wheeler page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","4256","TC-CL-01: Check Truck Price lead submits successfully on 22 Wheeler","CategoryPages - CategoryListing [twentyTwoWheeler] [en] — 22 Wheeler","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-SUT-01
**Title:** Sell truck wizard requests OTP successfully on Sell Used Trucks
**Language:** en

**Description:**
Walk the full 4-step Sell Used Trucks wizard: pick a brand, fill model/year/kilometers driven/expected price, upload two images, and submit seller contact info (name/mobile/state/district). This wizard is OTP-gated at the final step — there is no configured test OTP in this repo, so completion is verified up to the OTP screen, not full listing creation.

**Expected Result:**
Each step advances successfully with the given inputs, and a ""Verify and sell your Truck"" OTP verification screen (with an Enter OTP field) appears after submitting contact info. The submitted name is tagged with a page identifier for CRM traceability.

**Steps:**
1. Open the Sell Used Trucks page
2. Step 1: pick a truck brand
3. Step 2: fill model, year, kilometers driven and expected price
4. Step 3: upload two placeholder images
5. Step 4: fill name, mobile, state and district
6. Verify the OTP screen appears","9366","TC-SUT-01: Sell truck wizard requests OTP successfully on Sell Used Trucks","UsedTruck - SellUsedTrucks [en] — Sell Used Trucks","2026-08-23","broken","2026-08-23","","","",""
"**Test Case ID:** TC-PTC-03
**Title:** View All Comparison opens compare listing
**Language:** en

**Description:**
Click View All Comparison in Popular Truck Comparison and confirm the compare listing opens.

**Expected Result:**
The URL is the compare listing for the language (for example /en/compare).

**Steps:**
1. Open Popular Truck Comparison
2. Click View All Comparison
3. Verify the compare listing URL","3436","TC-PTC-03: View All Comparison opens compare listing","Homepage - PopularTruckComparison [en]","2026-08-23","passed","2026-08-23","","","",""
"","9523","TC-LTU-00: page links resolve 200/30x; broken links are logged, not failed","Homepage - LatestTruckUpdates [en]","2026-08-23","passed","2026-08-23","","","",""
"","1998","TC-TIY-10: View All does not keep Popular URL after switching to Upcoming","Homepage - TruckInIndia [en]","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-PSH-05
**Title:** No visible product card links to a duplicate used truck
**Language:** ta

**Description:**
Confirm every visible product name in Popular Second Hand Truck links to a distinct used truck.

**Expected Result:**
No two visible product cards share the same href.

**Steps:**
1. Open Popular Second Hand Truck
2. Verify all visible product links are unique","1081","TC-PSH-05: no visible product card links to a duplicate used truck","Homepage - PopularSecondHandTruck [ta]","2026-08-23","passed","2026-08-23","","","",""
"","31540","TC-SRT-12: loads model options for a brand including top models from test data","Homepage - SearchRightTruck [ta]","2026-08-23","failed","2026-08-23","","","",""
"","5844","TC-CL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - CategoryListing [lpg] [en] — LPG Trucks","2026-08-23","passed","2026-08-23","","","",""
"","5199","TC-BUS-00: page links resolve 200/30x; broken links are logged, not failed","Buses - BusListing [ashokLeylandBuses] [en] — Ashok Leyland Buses","2026-08-23","passed","2026-08-23","","","",""
"","5666","TC-SRT-01: Search The Right Truck section shows tabs, fields and Brand active by default","Homepage - SearchRightTruck [en]","2026-08-23","passed","2026-08-23","","","",""
"","982","TC-CL-04: Call Now assistance lead submits successfully on Tippers","CategoryPages - CategoryListing [tippers] [en] — Tippers","2026-08-23","skipped","2026-08-23","","","",""
"**Test Case ID:** TC-CL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on ICV
**Language:** en

**Description:**
Open the ICV page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the ICV page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","2260","TC-CL-03: Check Truck Price lead form rejects mobile that is not 10 digits on ICV","CategoryPages - CategoryListing [icv] [en] — ICV","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-BUS-03
**Title:** Lead form rejects mobile that is not 10 digits on SML ISUZU Buses
**Language:** en

**Description:**
Open the SML ISUZU Buses page, open the lead form via ""Check Bus Price"", fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The bus enquiry popup rejects the invalid mobile number in real time (the field reverts to empty), and submitting shows the mobile-required and location-required validation messages, with no lead submitted.

**Steps:**
1. Open the SML ISUZU Buses page
2. Click ""Check Bus Price"" to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-required and location validation messages are shown","3113","TC-BUS-03: lead form rejects mobile that is not 10 digits on SML ISUZU Buses","Buses - BusListing [smlIsuzuBuses] [en] — SML ISUZU Buses","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-PTB-02
**Title:** All popular brand cards show name, logo, title and brand URL
**Language:** en

**Description:**
In the Popular Truck Brands section, verify every expected brand card displays the brand name, logo image, accessible title, and link to that brand’s page.

**Expected Result:**
Each brand from test data appears once with the correct visible name, logo, title attribute, and href pointing to the brand page for that language.

**Steps:**
1. Open the Popular Truck Brands section
2. For each expected brand, verify name, logo, title and URL
3. Confirm the total number of brand cards matches test data","16955","TC-PTB-02: all popular brand cards show name, logo, title and brand URL","Homepage - PopularTruckBrands [en]","2026-08-23","failed","2026-08-23","","","",""
"**Test Case ID:** TC-SEO-05
**Title:** Read Less is not shown before the About Truck Junction content is expanded
**Language:** ta

**Description:**
Confirm the Read Less control is not present while the block is still collapsed.

**Expected Result:**
Read Less does not exist until Read More has been clicked.

**Steps:**
1. Open the About Truck Junction block
2. Verify Read Less is not shown yet","1046","TC-SEO-05: Read Less is not shown before the About Truck Junction content is expanded","SEO - HomePageSeoContent [ta]","2026-08-23","passed","2026-08-23","","","",""
"","3590","TC-SRT-04: searches by body type and lands on a body-type result URL","Homepage - SearchRightTruck [ta]","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-CL-01
**Title:** Check Truck Price lead submits successfully on Mini Trucks
**Language:** en

**Description:**
Open the Mini Trucks page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the Mini Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","5346","TC-CL-01: Check Truck Price lead submits successfully on Mini Trucks","CategoryPages - CategoryListing [miniTrucks] [en] — Mini Trucks","2026-08-23","passed","2026-08-23","","","",""
"","13184","TC-TSR-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - CategoryListingTruckSeries [mahindraBlazo] [en] — Mahindra Blazo","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-LMC-06
**Title:** One Check Offers lead from मिनी ट्रक tab submits successfully
**Language:** hi

**Description:**
Open the मिनी ट्रक tab in Latest Models by Category, click Check Offers once, fill name/mobile/city, enter a 5-digit price/budget only if asked, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission from that tab.

**Steps:**
1. Open Latest Models by Category
2. Open the मिनी ट्रक tab
3. Click Check Offers on one visible card
4. Fill name, mobile and city (and 5-digit price/budget if shown)
5. Submit and verify Thank You confirmation","5692","TC-LMC-06: one Check Offers lead from मिनी ट्रक tab submits successfully","Homepage - LatestModelsByCategory [hi]","2026-08-23","passed","2026-08-23","","","",""
"**Test Case ID:** TC-ECV-02
**Title:** First product name navigates to truck PDP
**Language:** en

**Description:**
In Electric Commercial Vehicles, click the first visible truck product name (not the image) and confirm the user opens that truck’s product detail page.

**Expected Result:**
The browser URL matches the product’s truck PDP path for the selected language (for example /en/{brand}-truck/{model}).

**Steps:**
1. Open the Electric Commercial Vehicles section
2. Click the first visible product name link
3. Verify the URL is the matching truck PDP","17862","TC-ECV-02: first product name navigates to truck PDP","Homepage - ElectricCommercialVehicles [en]","2026-08-23","broken","2026-08-23","","","",""
"**Test Case ID:** TC-NTPDP-07
**Title:** Key Specs block for Tata Yodha 2.0
**Language:** en

**Description:**
Scroll to Key Specs and verify expected spec labels for Tata Yodha 2.0.

**Expected Result:**
Key Specs heading and each expected label (GVW, Payload, …) are visible.

**Steps:**
1. Open PDP
2. Scroll to Key Specs
3. Verify heading and spec labels","440","TC-NTPDP-07: Key Specs block for Tata Yodha 2.0","PDP - NewTruckPdp [mostPopular] [en] — Tata Yodha 2.0","2026-08-23","passed","2026-08-23","","Page blocks (same session)","",""
