"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8634","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [blogDetail] [en] — Blog Article Detail","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on Blog Article Detail
**Language:** en

**Description:**
Open the Blog Article Detail page and verify its main heading is shown.

**Expected Result:**
The user sees the ""ACE Pro EV vs Treo Zor vs Reep 3 Wheeler: Best Electric Cargo EV for Your Business"" heading at the top of the page.

**Steps:**
1. Open the Blog Article Detail page
2. Verify the main page heading is visible","855","TC-CDT-01: page heading is visible on Blog Article Detail","UtilityPages - ContentDetailPage [blogDetail] [en] — Blog Article Detail","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-05
**Title:** listing heading, filters and cards on 40 ton - 300 ton Trucks
**Language:** en

**Description:**
Open 40 ton - 300 ton Trucks and confirm the page heading and at least one listing card CTA. Filter By is checked when that row is present.

**Expected Result:**
Page heading is visible and at least one listing card button is shown.

**Steps:**
1. Open the 40 ton - 300 ton Trucks page
2. Verify the page heading
3. Verify listing cards (and Filter By when present)","1186","TC-PL-05: listing heading, filters and cards on 40 ton - 300 ton Trucks","CategoryPages - PayloadListing [ton40to300] [en] — 40 ton - 300 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 5 ton - 10 ton Trucks
**Language:** en

**Description:**
Open the 5 ton - 10 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 5 ton - 10 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","5017","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 5 ton - 10 ton Trucks","CategoryPages - PayloadListing [ton5to10] [en] — 5 ton - 10 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-04
**Title:** Call Now assistance lead submits successfully on 2.5 ton - 5 ton Trucks
**Language:** en

**Description:**
Open the 2.5 ton - 5 ton Trucks page, click the ""Still confused?"" widget's Call Now button to open the assistance lead form, fill model, name, mobile and city, and submit.

**Expected Result:**
The assistance form closes after a successful submission.

**Steps:**
1. Open the 2.5 ton - 5 ton Trucks page
2. Click Call Now to open the assistance lead form
3. Fill model, name, mobile and city
4. Submit and verify the assistance form closes","5286","TC-PL-04: Call Now assistance lead submits successfully on 2.5 ton - 5 ton Trucks","CategoryPages - PayloadListing [ton2_5to5] [en] — 2.5 ton - 5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-01
**Title:** Check Truck Price lead submits successfully on 2.5 ton - 5 ton Trucks
**Language:** en

**Description:**
Open the 2.5 ton - 5 ton Trucks page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the 2.5 ton - 5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","11179","TC-PL-01: Check Truck Price lead submits successfully on 2.5 ton - 5 ton Trucks","CategoryPages - PayloadListing [ton2_5to5] [en] — 2.5 ton - 5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on Privacy Policy
**Language:** en

**Description:**
Open the Privacy Policy page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Privacy Policy | Truckjunction"" heading at the top of the page.

**Steps:**
1. Open the Privacy Policy page
2. Verify the main page heading is visible","1159","TC-CDT-01: page heading is visible on Privacy Policy","UtilityPages - ContentDetailPage [privacyPolicy] [en] — Privacy Policy","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-01
**Title:** Check Truck Price lead submits successfully on 10 ton - 20 ton Trucks
**Language:** en

**Description:**
Open the 10 ton - 20 ton Trucks page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the 10 ton - 20 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","5423","TC-PL-01: Check Truck Price lead submits successfully on 10 ton - 20 ton Trucks","CategoryPages - PayloadListing [ton10to20] [en] — 10 ton - 20 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on 5 ton - 10 ton Trucks
**Language:** en

**Description:**
Open the 5 ton - 10 ton Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the 5 ton - 10 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","4209","TC-PL-02: Check Truck Price lead form shows required validation when submitted empty on 5 ton - 10 ton Trucks","CategoryPages - PayloadListing [ton5to10] [en] — 5 ton - 10 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","9852","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [newsDetail] [en] — News Article Detail","2026-08-27","passed","2026-08-27","","","",""
