[Redirection Check] CategoryPages - Tata Trucks [en]: 14 broken link(s) found
(logged only — does not fail the test):
  - https://trucks.tractorjunction.com/en/tractor -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/18-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/6-wheeler/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/10-wheeler/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/14-wheeler/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/16-wheeler/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/18-wheeler/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/22-wheeler/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata/signa -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/scania -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/mini-truck/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/pickup/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tempo-traveller/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/news/tata-motors-drivn-electric-truck-leasing -> ERROR: The operation was aborted due to timeout
