[Redirection Check] CategoryPages - Tata Trucks [en]: 73 broken link(s) found
(logged only — does not fail the test):
  - https://trucks.tractorjunction.com/en/popular-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/mahindra/bolero -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/ashok-leyland/boss -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/ashok-leyland/dost -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tractor -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/mini-truck -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/pickup -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/auto-rickshaw -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/8-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/16-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/18-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/diesel -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/petrol -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/cng -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/hydrogen -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/bi-fuel -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/hcv -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/ace-gold-diesel -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/intra-v70-gold -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/intra-v50-gold -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/407-gold-sfc -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/yodha-pickup -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata/ultra -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata/sfc -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata/winger -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata/magic -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/winger-cargo -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/intra-v30-gold -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/winger-staff -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/610-lpt -> ERROR: The operation was aborted due to timeout
