[Redirection Check] CategoryPages - Eicher Trucks [en]: 24 broken link(s) found
(logged only — does not fail the test):
  - https://trucks.tractorjunction.com/en/eicher -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata/ace -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/ashok-leyland/boss -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tractor -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/transit-mixer -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/12-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/14-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/18-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/eicher-truck/pro-2049 -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/eicher-truck/pro-2110 -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/6-wheeler/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/10-wheeler/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/12-wheeler/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/14-wheeler/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/16-wheeler/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/22-wheeler/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/scania -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tvs -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/mini-truck/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tractor/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/transit-mixer/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/eicher-truck/1059 -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/bharat-benz-truck/5528t-4x2 -> 502
  - https://trucks.tractorjunction.com/en/news/eicher-pro-6028-features-specs-price -> ERROR: The operation was aborted due to timeout
