[Redirection Check] CategoryPages - Transit Mixer [en]: 41 broken link(s) found
(logged only — does not fail the test):
  - https://trucks.tractorjunction.com/en/tata -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/ashok-leyland -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/mahindra-truck/zeo -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/popular-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/3-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/buses/brands -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata/ace -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/mahindra/bolero -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/ashok-leyland/boss -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tippers -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tempo-traveller -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/4-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/10-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/12-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/14-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/18-wheeler -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/diesel -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/lng -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/hydrogen -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/hcv -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/scv -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/icv -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/mahindra-truck/blazo-x-28-transit-mixer -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/ashok-leyland-truck/2820-rmc -> 502
  - https://trucks.tractorjunction.com/en/tata-truck/signa-2823k-rmc-std-6s -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/ashok-leyland-truck/2825-rmc -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/transit-mixer/tata-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/transit-mixer/ashok-leyland-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/transit-mixer/eicher-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/transit-mixer/bharat-benz-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/transit-mixer/mahindra-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/prima-2830k-repto -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/prima-3530k-repto -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/tata-truck/lpk-2821-k-fe-plus-rmc -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/latest-trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/trucks -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/golf-cart -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/news/eicher-pro-6028tm-transit-mixer -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/news/eicher-pro-heavy-trucks-2026 -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/news/chhath-puja-2025-heavy-duty-vehicles-traffic-restrictions -> ERROR: The operation was aborted due to timeout
  - https://trucks.tractorjunction.com/en/news/fada-combined-cv-retail-sales-report-september-2025 -> ERROR: The operation was aborted due to timeout
